base_state,outs,y_class,ERV
000,0,Ball,0.0
000,0,CalledStrike,0.0
000,0,Foul,0.0
000,0,InPlaySolid,-0.09488046063337088
000,0,InPlayWeak,-0.0017966223499820337
000,0,SwingingStrike,0.0
000,1,Ball,0.0
000,1,CalledStrike,0.0
000,1,Foul,0.0
000,1,InPlaySolid,-0.088927241347988
000,1,InPlayWeak,-0.0013751820093835948
000,1,SwingingStrike,0.0
000,2,Ball,0.0
000,2,CalledStrike,0.0
000,2,Foul,0.0
000,2,InPlaySolid,-0.08725367353912747
000,2,InPlayWeak,-0.0014707427250761635
000,2,SwingingStrike,0.0
001,0,Ball,-0.00851063829787234
001,0,CalledStrike,-0.006097560975609756
001,0,Foul,0.0
001,0,InPlaySolid,-0.8780487804878049
001,0,InPlayWeak,-0.423728813559322
001,0,SwingingStrike,0.0
001,1,Ball,-0.01232741617357002
001,1,CalledStrike,-0.0016
001,1,Foul,-0.0009140767824497258
001,1,InPlaySolid,-0.9265873015873016
001,1,InPlayWeak,-0.48830409356725146
001,1,SwingingStrike,0.0
001,2,Ball,-0.01017042330951072
001,2,CalledStrike,0.0
001,2,Foul,0.0
001,2,InPlaySolid,-0.4747225647348952
001,2,InPlayWeak,-0.21155830753353974
001,2,SwingingStrike,-0.0008347245409015025
010,0,Ball,0.0
010,0,CalledStrike,-0.0006042296072507553
010,0,Foul,0.0
010,0,InPlaySolid,-0.3691215616681455
010,0,InPlayWeak,-0.0946031746031746
010,0,SwingingStrike,-0.001558846453624318
010,1,Ball,-0.0011180992313067784
010,1,CalledStrike,-0.0003588087549336204
010,1,Foul,0.0
010,1,InPlaySolid,-0.39721043056397815
010,1,InPlayWeak,-0.10078740157480315
010,1,SwingingStrike,-0.0009254974548819991
010,2,Ball,-0.0004298302170642596
010,2,CalledStrike,0.0
010,2,Foul,0.0
010,2,InPlaySolid,-0.47456015216357583
010,2,InPlayWeak,-0.1427995159338443
010,2,SwingingStrike,-0.0003281916639317361
011,0,Ball,-0.012391573729863693
011,0,CalledStrike,0.0
011,0,Foul,0.0
011,0,InPlaySolid,-1.221698113207547
011,0,InPlayWeak,-0.6145833333333334
011,0,SwingingStrike,-0.0036101083032490976
011,1,Ball,-0.007928118393234672
011,1,CalledStrike,0.0
011,1,Foul,0.0
011,1,InPlaySolid,-1.2951807228915662
011,1,InPlayWeak,-0.7142857142857143
011,1,SwingingStrike,-0.0027624309392265192
011,2,Ball,-0.012008281573498964
011,2,CalledStrike,-0.0022271714922048997
011,2,Foul,-0.0008210180623973727
011,2,InPlaySolid,-0.9553571428571429
011,2,InPlayWeak,-0.33839150227617604
011,2,SwingingStrike,-0.0012330456226880395
100,0,Ball,0.0
100,0,CalledStrike,0.0
100,0,Foul,0.0
100,0,InPlaySolid,-0.22390364422483014
100,0,InPlayWeak,-0.006683168316831683
100,0,SwingingStrike,0.0
100,1,Ball,0.0
100,1,CalledStrike,0.0
100,1,Foul,0.0
100,1,InPlaySolid,-0.21995682417846008
100,1,InPlayWeak,-0.012242268041237113
100,1,SwingingStrike,0.0
100,2,Ball,-5.553087516659262e-05
100,2,CalledStrike,0.0
100,2,Foul,0.0
100,2,InPlaySolid,-0.25178264076715023
100,2,InPlayWeak,-0.015737704918032787
100,2,SwingingStrike,0.0
101,0,Ball,-0.013100436681222707
101,0,CalledStrike,-0.005141388174807198
101,0,Foul,0.0
101,0,InPlaySolid,-1.1194539249146758
101,0,InPlayWeak,-0.6363636363636364
101,0,SwingingStrike,-0.0026595744680851063
101,1,Ball,-0.013302034428794992
101,1,CalledStrike,-0.006578947368421052
101,1,Foul,-0.0007012622720897616
101,1,InPlaySolid,-1.0048939641109298
101,1,InPlayWeak,-0.5217932752179327
101,1,SwingingStrike,-0.004651162790697674
101,2,Ball,-0.015583729529846805
101,2,CalledStrike,-0.001282051282051282
101,2,Foul,-0.0017113519680547634
101,2,InPlaySolid,-0.6479217603911981
101,2,InPlayWeak,-0.24130879345603273
101,2,SwingingStrike,-0.0015910898965791568
110,0,Ball,-0.0005685048322910744
110,0,CalledStrike,-0.0006626905235255136
110,0,Foul,0.0
110,0,InPlaySolid,-0.5650602409638554
110,0,InPlayWeak,-0.11092003439380911
110,0,SwingingStrike,0.0
110,1,Ball,-0.0008175277959450621
110,1,CalledStrike,-0.0010921004732435385
110,1,Foul,0.0
110,1,InPlaySolid,-0.5776439089692101
110,1,InPlayWeak,-0.13794983642311887
110,1,SwingingStrike,-0.0004972650422675286
110,2,Ball,-0.0006406149903907751
110,2,CalledStrike,-0.0003056234718826406
110,2,Foul,0.0
110,2,InPlaySolid,-0.6728216964800924
110,2,InPlayWeak,-0.1645813282001925
110,2,SwingingStrike,0.0
111,0,Ball,-0.05292171995589857
111,0,CalledStrike,0.0
111,0,Foul,-0.0019157088122605363
111,0,InPlaySolid,-1.338235294117647
111,0,InPlayWeak,-0.8381877022653722
111,0,SwingingStrike,-0.002881844380403458
111,1,Ball,-0.055891238670694864
111,1,CalledStrike,-0.001287001287001287
111,1,Foul,-0.0024958402662229617
111,1,InPlaySolid,-1.344463971880492
111,1,InPlayWeak,-0.6956521739130435
111,1,SwingingStrike,-0.002758620689655172
111,2,Ball,-0.064030131826742
111,2,CalledStrike,-0.0008576329331046312
111,2,Foul,-0.0014566642388929353
111,2,InPlaySolid,-1.0342019543973942
111,2,InPlayWeak,-0.4064245810055866
111,2,SwingingStrike,-0.002254791431792559
