base_state,outs,balls,strikes,event_type,ERV
000,0,0,0,Ball,-0.016637843640050092
000,0,0,0,CalledStrike,-0.013791308873276087
000,0,0,1,Ball,-0.021103217718345172
000,0,0,1,CalledStrike,-0.010724852071005916
000,0,0,2,Ball,-0.018691588785046728
000,0,0,2,CalledStrike,-0.014778325123152709
000,0,1,0,Ball,-0.024553168441957034
000,0,1,0,CalledStrike,-0.017852948085506224
000,0,1,1,Ball,-0.025961222477817944
000,0,1,1,CalledStrike,-0.019394512771996216
000,0,1,2,Ball,-0.024176445638342994
000,0,1,2,CalledStrike,-0.005797101449275362
000,0,2,0,Ball,-0.006590772917914919
000,0,2,0,CalledStrike,-0.02089735709895513
000,0,2,1,Ball,-0.03909054646988432
000,0,2,1,CalledStrike,-0.017326732673267328
000,0,2,2,Ball,-0.03457273320287019
000,0,2,2,CalledStrike,-0.006839945280437756
000,0,3,0,Ball,-0.01384083044982699
000,0,3,0,CalledStrike,-0.029263370332996974
000,0,3,1,Ball,-0.03582395087001024
000,0,3,1,CalledStrike,-0.03421461897356143
000,0,3,2,Ball,-0.026973026973026972
000,0,3,2,CalledStrike,-0.013333333333333334
001,0,0,0,Ball,-0.22340425531914893
001,0,0,0,CalledStrike,-0.25
001,0,0,1,Ball,-0.21818181818181817
001,0,0,1,CalledStrike,-0.36363636363636365
001,0,0,2,Ball,-0.175
001,0,0,2,CalledStrike,0.0
001,0,1,0,Ball,-0.21951219512195122
001,0,1,0,CalledStrike,-0.14285714285714285
001,0,1,1,Ball,-0.30303030303030304
001,0,1,1,CalledStrike,-0.16666666666666666
001,0,1,2,Ball,-0.3090909090909091
001,0,1,2,CalledStrike,0.0
001,0,2,0,Ball,-0.07692307692307693
001,0,2,0,CalledStrike,-0.3333333333333333
001,0,2,1,Ball,-0.15384615384615385
001,0,2,1,CalledStrike,-0.6666666666666666
001,0,2,2,Ball,-0.3617021276595745
001,0,2,2,CalledStrike,0.0
001,0,3,0,Ball,-0.25
001,0,3,0,CalledStrike,-0.375
001,0,3,1,Ball,-0.5555555555555556
001,0,3,1,CalledStrike,0.0
001,0,3,2,Ball,-0.2903225806451613
001,0,3,2,CalledStrike,-0.2222222222222222
010,0,0,0,Ball,-0.08226691042047532
010,0,0,0,CalledStrike,-0.09649122807017543
010,0,0,1,Ball,-0.08021390374331551
010,0,0,1,CalledStrike,-0.05511811023622047
010,0,0,2,Ball,-0.10227272727272728
010,0,0,2,CalledStrike,-0.08
010,0,1,0,Ball,-0.09832134292565947
010,0,1,0,CalledStrike,-0.13565891472868216
010,0,1,1,Ball,-0.15137614678899083
010,0,1,1,CalledStrike,-0.125
010,0,1,2,Ball,-0.1581196581196581
010,0,1,2,CalledStrike,-0.02857142857142857
010,0,2,0,Ball,-0.03680981595092025
010,0,2,0,CalledStrike,-0.06956521739130435
010,0,2,1,Ball,-0.11165048543689321
010,0,2,1,CalledStrike,-0.14864864864864866
010,0,2,2,Ball,-0.2206703910614525
010,0,2,2,CalledStrike,-0.06521739130434782
010,0,3,0,Ball,-0.06329113924050633
010,0,3,0,CalledStrike,-0.11904761904761904
010,0,3,1,Ball,-0.11926605504587157
010,0,3,1,CalledStrike,-0.15517241379310345
010,0,3,2,Ball,-0.1358695652173913
010,0,3,2,CalledStrike,-0.02702702702702703
011,0,0,0,Ball,-0.35294117647058826
011,0,0,0,CalledStrike,-0.2616822429906542
011,0,0,1,Ball,-0.32222222222222224
011,0,0,1,CalledStrike,-0.3333333333333333
011,0,0,2,Ball,-0.38571428571428573
011,0,0,2,CalledStrike,0.0
011,0,1,0,Ball,-0.3181818181818182
011,0,1,0,CalledStrike,-0.35714285714285715
011,0,1,1,Ball,-0.36764705882352944
011,0,1,1,CalledStrike,-0.3125
011,0,1,2,Ball,-0.4125
011,0,1,2,CalledStrike,-0.25
011,0,2,0,Ball,-0.16129032258064516
011,0,2,0,CalledStrike,-0.55
011,0,2,1,Ball,-0.4444444444444444
011,0,2,1,CalledStrike,-0.5
011,0,2,2,Ball,-0.3968253968253968
011,0,2,2,CalledStrike,-0.6
011,0,3,0,Ball,-0.375
011,0,3,0,CalledStrike,-0.6470588235294118
011,0,3,1,Ball,-0.47368421052631576
011,0,3,1,CalledStrike,-0.6
011,0,3,2,Ball,-0.42424242424242425
011,0,3,2,CalledStrike,-0.25
100,0,0,0,Ball,-0.045190913484775254
100,0,0,0,CalledStrike,-0.03708481135117704
100,0,0,1,Ball,-0.05357142857142857
100,0,0,1,CalledStrike,-0.0528169014084507
100,0,0,2,Ball,-0.05597964376590331
100,0,0,2,CalledStrike,-0.050505050505050504
100,0,1,0,Ball,-0.03950256035113387
100,0,1,0,CalledStrike,-0.07158119658119658
100,0,1,1,Ball,-0.05509433962264151
100,0,1,1,CalledStrike,-0.052763819095477386
100,0,1,2,Ball,-0.044186046511627906
100,0,1,2,CalledStrike,-0.015625
100,0,2,0,Ball,-0.022727272727272728
100,0,2,0,CalledStrike,-0.09207161125319693
100,0,2,1,Ball,-0.07807308970099668
100,0,2,1,CalledStrike,-0.020833333333333332
100,0,2,2,Ball,-0.08823529411764706
100,0,2,2,CalledStrike,-0.0234375
100,0,3,0,Ball,-0.10416666666666667
100,0,3,0,CalledStrike,-0.09090909090909091
100,0,3,1,Ball,-0.037914691943127965
100,0,3,1,CalledStrike,-0.029411764705882353
100,0,3,2,Ball,-0.11142061281337047
100,0,3,2,CalledStrike,-0.020618556701030927
101,0,0,0,Ball,-0.23661971830985915
101,0,0,0,CalledStrike,-0.28125
101,0,0,1,Ball,-0.38311688311688313
101,0,0,1,CalledStrike,-0.48484848484848486
101,0,0,2,Ball,-0.2641509433962264
101,0,0,2,CalledStrike,0.0
101,0,1,0,Ball,-0.3076923076923077
101,0,1,0,CalledStrike,-0.38181818181818183
101,0,1,1,Ball,-0.46464646464646464
