pitcher,name
434378,Justin Verlander
445276,Kenley Jansen
445926,Jesse Chavez
448179,Richard Hill
450203,Charles Morton
453286,Maxwell Scherzer
455119,Christopher Martin
458677,Justin Wilson
471911,Carlos Carrasco
472610,Luis García
476594,Robert Stock
477132,Clayton Kershaw
489119,Wade Miley
489446,Kirby Yates
493603,Adam Ottavino
500743,Miguel Rojas
500779,Jose Quintana
502043,Kyle Gibson
502085,David Robertson
506433,Yu Darvish
516853,Wilking Rodríguez
518397,Scott Alexander
518489,Ryan Brasier
518585,Fernando Cruz
518617,Jacob Diekman
518876,Kenneth Kelly
518886,Craig Kimbrel
519008,Timothy McFarland
519043,Matthew Moore
519141,Thomas Pomeranz
519151,Thomas Pressly
519242,Christopher Sale
519326,Hunter Strickland
521230,Liam Hendriks
527048,Martín Pérez
534910,Jesse Hahn
541640,Erasmo Ramírez
542881,Tyler Anderson
542888,Shawn Armstrong
542932,Jonathon Berti
543056,Daniel Coulombe
543101,Anthony DeSclafani
543135,Nathan Eovaldi
543243,Sonny Gray
543294,Kyle Hendricks
543391,Casey Kelly
543518,Scott McGough
543592,Austin Nola
543766,Bryan Shaw
543859,Michael Tonkin
544150,Albert Suárez
547001,Cody Poteet
547179,Michael Lorenzen
547184,Michael Kelly
547973,Albertin Chapman
548384,Brooks Raley
548389,Thomas Stripling
552640,Andrew Kittredge
554340,Yimi García
554430,Zachary Wheeler
554431,Tyler Matzek
570632,José Ureña
571466,Tucker Barnhart
571510,Matthew Boyd
571578,Patrick Corbin
571657,James Farmer
571760,Andrew Heaney
571771,Enrique Hernández
571882,Derek Law
571912,Luke Maile
571927,Steven Matz
571945,Miles Mikolas
571946,Shelby Miller
571948,Hoby Milner
572143,Burch Smith
572383,Brian Moran
572955,Pierce Johnson
573009,Joseph Mantiply
573124,Taylor Rogers
573186,Marcus Stroman
573204,Caleb Thielbar
573262,Michael Yastrzemski
579328,Yusei Kikuchi
592094,Jason Adam
592155,Cameron Booser
592254,José De León
592332,Kevin Gausman
592351,Jonathan Gray
592426,Luke Jackson
592454,Thomas Kahnle
592662,Robert Ray
592773,Ryne Stanek
592779,Brock Stewart
592791,Jameson Taillon
592826,Vincent Velasquez
592836,Taijuan Walker
592848,Zachary Weiss
592866,Trevor Williams
593423,Francelis Montas
593576,Héctor Neris
593833,Wander Suero
593958,Eduardo Rodriguez
593974,Wandy Peralta
594580,Samuel Moll
594798,Jacob deGrom
594902,Edward Lively
595014,Blake Treinen
595345,Steven Okert
595897,Nicholas Burdi
595928,John Curtiss
595978,Austin Hedges
596001,Jakob Junis
596103,Austin Slater
596112,Robert Stephenson
596133,Luke Weaver
596142,Gary Sánchez
596271,Casey Lawrence
596295,Austin Gomber
600853,Jose Adames
600917,José Leclerc
601713,Nicholas Pivetta
605121,Justin Anderson
