pitcher,pitch_type
434378,CH
434378,CU
434378,FF
434378,SI
434378,SL
434378,ST
445276,FC
445276,SI
445276,SL
445276,ST
445926,CH
445926,CU
445926,FC
445926,SI
445926,SL
448179,CH
448179,CU
448179,FC
448179,FF
448179,SI
448179,ST
450203,CH
450203,CU
450203,FC
450203,FF
450203,SI
453286,CH
453286,CU
453286,FC
453286,FF
453286,SL
455119,FC
455119,FF
455119,FS
455119,SI
455119,ST
458677,FC
458677,FF
458677,FS
458677,SL
471911,CH
471911,CU
471911,FF
471911,SI
471911,SL
472610,FF
472610,FS
472610,SI
472610,SL
472610,ST
476594,FC
476594,FF
476594,SI
476594,ST
477132,CS
477132,CU
477132,EP
477132,FA
477132,FF
477132,FS
477132,SI
477132,SL
489119,CH
489119,CU
489119,FC
489119,FF
489119,SI
489119,SL
489119,ST
489446,FF
489446,FS
500743,EP
500743,FA
500779,CH
500779,CU
500779,FF
500779,SI
500779,SV
502043,CH
502043,CU
502043,FC
502043,FF
502043,SI
502043,SL
502043,ST
502085,CH
502085,FC
502085,KC
502085,SI
502085,SL
506433,CH
506433,CU
506433,FC
506433,FF
506433,FS
506433,KC
506433,PO
506433,SI
506433,SL
506433,ST
518397,CH
518397,SI
518397,SL
518489,FC
518489,FF
518489,SI
518489,SL
518585,FF
518585,FS
518585,SI
518585,SL
518876,CH
518876,CU
518876,FC
518876,FF
518876,SI
518876,SL
518886,CH
518886,FF
518886,KC
518886,ST
519008,CH
519008,SI
519008,ST
519141,FF
519141,KC
519151,CH
519151,CU
519151,FF
519151,SI
519151,SL
519242,CH
519242,FF
519242,SI
519242,SL
519326,CH
519326,FF
519326,SI
519326,SL
519326,ST
521230,CU
521230,FF
521230,SL
527048,CH
527048,CU
527048,FC
527048,FF
527048,SI
534910,CU
534910,SI
534910,ST
541640,CH
541640,CU
541640,FC
541640,FF
541640,SI
542881,CH
542881,CU
542881,FC
542881,FF
542881,SI
542881,SL
542888,FC
542888,FF
542888,SI
542888,ST
542888,SV
542932,EP
542932,FA
543056,FC
543056,FF
543056,KC
543056,SI
543056,ST
543101,FF
543101,FS
543101,KC
543101,SI
543101,SL
543101,ST
543135,CU
543135,FC
543135,FF
543135,FS
543135,SI
543135,SL
543243,CH
543243,CS
543243,CU
543243,FC
543243,FF
543243,PO
543243,SI
543243,SL
543243,ST
543294,CH
543294,CU
543294,FF
543294,PO
543294,SI
543391,CH
543391,CU
543391,FF
543391,SI
543391,SL
543518,FF
543518,FS
543518,SI
543518,SL
543592,EP
543592,FA
543859,FF
543859,SI
543859,SL
543859,ST
544150,CH
544150,CU
544150,FC
544150,FF
544150,SV
547001,CH
547001,FF
547001,SI
547001,SL
547001,ST
547179,CH
547179,CU
547179,FC
547179,FF
547179,SI
547179,SL
547179,ST
547184,CH
547184,FC
547184,FF
547184,SI
547184,SL
547184,ST
547973,FF
547973,FS
547973,SI
547973,SL
548384,CH
548384,FC
548384,SI
548384,ST
552640,FF
552640,FS
552640,SI
552640,SL
554340,CH
554340,CU
554340,FF
554340,SI
554340,ST
554430,CU
554430,FC
554430,FF
554430,FS
554430,SI
554430,ST
554431,FF
554431,SI
554431,SL
570632,CH
570632,FF
570632,FS
570632,SI
570632,SL
571466,EP
571466,FA
571510,CH
571510,CU
571510,FF
571510,SI
571510,SL
571578,CH
571578,CU
571578,FC
571578,FF
571578,SI
571578,SL
571657,EP
571760,CH
571760,CS
571760,CU
571760,FF
571760,SI
571760,SL
571771,CS
571771,EP
571771,FA
571912,FA
571912,KN
571927,CH
571927,CU
571927,PO
571927,SI
571927,SL
571945,CH
571945,CS
571945,CU
571945,FF
571945,PO
571945,SI
571945,SL
571945,ST
571946,FF
571946,FS
571946,SL
571946,ST
571948,CH
571948,FF
571948,SI
571948,ST
572955,CU
572955,FC
572955,FF
573009,CH
573009,CU
573009,FF
573009,SI
573124,FF
573124,SI
573124,ST
573186,CU
573186,FC
573186,FF
573186,FS
573186,SI
573186,SL
573186,SV
573204,CU
573204,FF
573204,SL
573204,ST
573262,CU
573262,EP
573262,FA
573262,KN
579328,CH
579328,CU
579328,FF
579328,SI
579328,SL
592094,CH
592094,FC
592094,FF
592094,SL
592094,ST
592155,CH
592155,FC
592155,FF
592155,ST
592254,CH
592254,FF
592254,SL
592254,SV
592332,FF
592332,FS
592332,SI
592332,SL
592351,CH
592351,CU
592351,FF
592351,SL
592426,CH
592426,CU
592426,FC
592426,FF
592426,SL
592454,CH
592454,FF
592454,SL
592662,CH
592662,FF
592662,KC
592662,SL
592662,ST
592773,FF
592773,FS
592773,SL
592773,ST
592779,CH
592779,FC
592779,FF
592779,SI
592779,ST
592791,CH
592791,CU
592791,FC
592791,FF
592791,SI
592791,ST
592836,CU
592836,FC
592836,FF
592836,FS
592836,SI
592836,SL
592866,CH
592866,FF
592866,SI
592866,SL
592866,ST
593423,FC
593423,FF
593423,FS
593423,SI
593423,SL
593423,ST
593576,CH
593576,FF
593576,FS
593576,SI
593576,SL
593833,CH
593833,CU
593833,FC
593958,CH
593958,CU
593958,FC
593958,FF
593958,PO
593958,SI
593958,SL
593974,CH
593974,FF
593974,SI
593974,SL
594580,CH
594580,FF
594580,SI
594580,ST
594798,CH
594798,CU
594798,FF
594798,SL
594902,CH
594902,CU
594902,FC
594902,FF
594902,SI
594902,ST
595014,FC
595014,FF
595014,SI
595014,ST
595345,CH
595345,FC
595345,FF
595345,PO
595345,SL
595897,CH
595897,FF
595897,SI
595897,SL
595928,CH
595928,FC
595928,FF
595928,SL
595978,EP
595978,FA
596001,CH
596001,FF
596001,SI
596001,SL
596103,EP
596112,FC
596112,FF
596112,FS
596112,SL
596133,CH
596133,FC
596133,FF
596133,SL
596142,EP
596142,FA
596271,CH
596271,FC
596271,FF
596271,SI
596271,SL
596271,ST
596295,CH
596295,FC
596295,FF
596295,FS
596295,KC
596295,SL
600917,CH
600917,FC
600917,FF
600917,SI
600917,SL
601713,CU
601713,FC
601713,FF
601713,FS
601713,SI
601713,SL
601713,ST
605130,CU
605130,FF
605130,PO
605130,SI
605130,SL
605130,ST
605135,CH
605135,CU
605135,FC
605135,FF
605135,FS
605135,SI
605135,SL
605135,ST
605154,CH
605154,CU
605154,FF
605154,SL
605177,CH
605177,FF
605177,SI
605177,SL
605182,CH
605182,FC
605182,FF
605182,SI
605182,ST
605218,CH
605218,CU
605218,FF
605242,CH
605242,FC
605242,FF
605242,SI
605242,ST
605280,CH
605280,FC
605280,FF
605280,SI
605280,SL
605280,ST
605288,CH
605288,CU
605288,FF
605288,SI
605288,SL
605347,CH
605347,FF
605347,KC
605347,PO
605347,SI
605347,SL
605400,CH
605400,FC
605400,FF
605400,KC
605400,SI
605447,FF
605447,SL
605452,CH
605452,CU
605452,FF
605452,SI
605452,SL
605463,FF
605463,FS
605463,SI
605463,SL
605463,ST
605483,CH
605483,CU
605483,FF
605483,SL
605488,CH
605488,FC
605488,FF
605488,SL
605488,ST
605507,CH
605507,CU
605507,FC
605507,FF
605507,SI
605513,CH
605513,CU
605513,FF
605513,SI
605513,SL
605513,ST
605540,CH
605540,CU
605540,FC
605540,FF
605540,SI
605540,ST
606160,FF
606160,FS
606160,SI
606160,SL
606303,CH
606303,FC
606303,FF
606303,SI
606303,SL
606930,FC
606930,FF
606930,FS
606965,CH
606965,FC
606965,FF
606965,SI
606965,SL
606965,ST
606996,CH
606996,FF
606996,FS
606996,SI
606996,SL
606996,ST
607067,CU
607067,FC
607067,FF
607067,FS
607067,PO
607067,SI
607067,SL
607067,ST
607074,CH
607074,CU
607074,FC
607074,FF
607074,SI
607074,SL
607179,CU
607179,FF
607179,FS
607179,SL
607192,CU
607192,FF
607192,SI
607192,SL
607200,CH
607200,FC
607200,SI
607200,ST
607259,CH
607259,CU
607259,FC
607259,FF
607259,PO
607259,SI
607259,SL
607455,CH
607455,FF
607455,SI
607455,SL
607481,CU
607481,FF
607481,SI
607481,ST
607536,CH
607536,FC
607536,FF
607536,KC
607536,SI
607536,ST
607625,CH
607625,CS
607625,CU
607625,FC
607625,FF
607625,FS
607625,SI
607625,SL
607625,ST
607625,SV
607732,CH
607732,CS
607732,FA
608032,CH
608032,FF
608032,SL
608331,CH
608331,CU
608331,FC
608331,FF
608331,SI
608331,SL
608331,ST
608334,CH
608334,CU
608334,FF
608334,PO
608334,SI
608334,SL
608337,CH
608337,CU
608337,FF
608337,PO
608337,SL
608371,CU
608371,FC
608371,FF
608371,ST
608372,CU
608372,FC
608372,FF
608372,FS
608372,SI
608372,ST
608379,CH
608379,CU
608379,FC
608379,FF
608379,SI
608379,SL
608566,CH
608566,FF
608566,KC
608566,SI
608566,SL
608650,CH
608650,CU
608650,FC
608650,FF
608650,SI
608665,CH
608665,CU
608665,FF
608665,SI
608665,SL
608671,CU
608671,EP
608717,CH
608717,CU
608717,FF
608717,SI
608717,SL
608717,ST
608718,CH
608718,FF
608718,SI
608718,SL
612434,CH
612434,SI
612434,SL
614179,CH
614179,CU
614179,FF
614179,SI
614179,SL
614179,ST
615698,CU
615698,FC
615698,FF
615698,FS
615698,SI
615698,SL
620443,CH
620443,EP
620443,FA
620454,CH
620454,FF
620454,SI
620454,SL
621028,EP
621028,FA
621028,KN
621051,CH
621051,FC
621051,FF
621051,ST
621053,CH
621053,FC
621053,FF
621053,SI
621053,ST
621057,FC
621057,FF
621057,FS
621057,SL
621107,CH
621107,CU
621107,FC
621107,FF
621107,SI
621107,ST
621111,CH
621111,FC
621111,FF
621111,KC
621111,SI
621111,SL
621111,ST
621112,CH
621112,CU
621112,FC
621112,FF
621112,SI
621112,ST
621114,FF
621114,SL
621121,CH
621121,FC
621121,FF
621121,KC
621121,SI
621121,SL
621139,FC
621139,FF
621139,FS
621139,SL
621199,FC
621199,FF
621199,FS
621199,SI
621199,ST
621237,CU
621237,FC
621237,FF
621237,SI
621242,CH
621242,FF
621242,SL
621244,CH
621244,FC
621244,FF
621244,SI
621244,SV
621345,CH
621345,FC
621345,FF
621363,FF
621363,SL
621366,FS
621366,SI
621366,SL
621366,ST
621381,FC
621381,FF
621381,SI
621381,SL
621383,CH
621383,FF
621383,SI
621383,SL
621383,ST
621512,CU
621512,SL
622253,CH
622253,FF
622253,SI
622253,ST
